id,STATE,ROAD,LOCATION,LAT,LONG,YEAR_BUILT,OPEN_DESC,OPEN_CODE,ZIPCODE
238220,MD,BADEN NAYLOR ROAD,1.11 MILES SW OF MD 382,38.688333,-76.74,1950,FAILED CONDITION-Out of service,0,20754
237037,MD,OLD ELK NECK ROAD,0.55 MI S OF LAUREL WAY,39.52,-75.941667,1930,FAILED CONDITION-Out of service,0,21914
237302,MD,BACK LANDING ROAD,ON CAROLINE COUNTY LINE,38.685,-75.906667,1941,"""IMMINENT"" FAILURE CONDITION-Bridge is closed",1,21655
236499,MD,GORES MILL ROAD,1.2 MI N MIDDLETOWN RD,39.681667,-76.7,1920,CRITICAL CONDITION,2,21105
236504,MD,MOHRS LANE,0.1 MI NW OF US RTE 40,39.361667,-76.446667,1912,SERIOUS CONDITION,3,21162
236511,MD,ENSOR ROAD,1.85 MILES SW OF MD 439,39.656667,-76.623333,1920,SERIOUS CONDITION,3,21120
236513,MD,VALLEY MILL RD,0.59 MI N OF WALKER RD,39.671667,-76.691667,1975,SERIOUS CONDITION,3,21105
236545,MD,GWYNNBROOK AVENUE,0.09 MI E OWINGS MILLS BL,39.443333,-76.78,1920,SERIOUS CONDITION,3,21136
237265,MD,POPLAR NECK ROAD,4.8 MILES SOUTH OF MD 331,38.686667,-75.956667,1949,SERIOUS CONDITION,3,21609
238264,MD,COMMO ROAD,.74 MI E FRANK TIPPETT RD,38.746667,-76.846667,1935,SERIOUS CONDITION,3,20588
237050,MD,BARON RD,0.16 MI N OF NAZARENE RD,39.618333,-75.973333,1940,SERIOUS CONDITION,3,21902
237021,MD,CROTHERS ROAD,1.52 MI N OF MD 274,39.67,-75.986667,1964,POOR CONDITION,4,21911
236954,MD,SISSON STREET,0.3 MI W OF MARYLAND AVE,39.316667,-76.62,1914,POOR CONDITION,4,21201
236888,MD,HANOVER STREET,HANOVER ST OVER CSX RR,39.266667,-76.615,1929,POOR CONDITION,4,21283
236905,MD,ANNAPOLIS ROAD,0.3 MI N OF PATAPSCO AVE,39.25,-76.636667,1919,POOR CONDITION,4,21225
236817,MD,PERRING PKWY RAMP,ON RAMP WB NORTHERN PKWY,39.615,-76.955,1965,POOR CONDITION,4,21102
238223,MD,CEDARVILLE ROAD,1.14 MI EAST OF US 301,38.655,-76.853333,1940,POOR CONDITION,4,20613
238204,MD,BRINKLEY ROAD,0.21 MI NE OF ROBERTS DR,38.8,-76.94,1953,POOR CONDITION,4,20748
238189,MD,OLD LANDOVER ROAD,0.14 MI N OF MD 202,38.93,-76.893333,1966,POOR CONDITION,4,20710
238354,MD,MARSH ROAD,SMITH ISLAND,37.976667,-76.041667,1971,POOR CONDITION,4,21824
238358,MD,APE HOLE ROAD,2.5 MI SE OF CRISFIELD,37.956667,-75.825,1971,POOR CONDITION,4,21817
238372,MD,TUNIS MILLS ROAD,6 MI NW OF EASTON,38.821667,-76.166667,1963,POOR CONDITION,4,21663
237272,MD,LONG SWAMP ROAD,1.3 MI SE OF AGNER,38.743333,-75.778333,1953,POOR CONDITION,4,21632
237103,MD,TRINITY CHURCH RD,2.05 MILES S OF MD 6,38.453333,-76.87,1927,POOR CONDITION,4,20622
237253,MD,RIVER ROAD,2.3 MI N OF MD 480,38.928333,-75.833333,1955,POOR CONDITION,4,21660
237298,MD,BESTPITCH FERRY RD,0.1 MI S OF GRIF NECK RD,38.416667,-75.988333,1946,POOR CONDITION,4,21835
237945,MD,SPRING STREET,0.3 MI SOUTH OF MD 97,38.996667,-77.035,1968,POOR CONDITION,4,20901
237965,MD,VALLEY ROAD,40 FT E OF FALLEN OAK RD,39,-77.13,1964,POOR CONDITION,4,20813
238115,MD,CHERRY HILL ROAD,0.5 MILES WEST OF US 1,39.016667,-76.933333,1966,POOR CONDITION,4,20704
238131,MD,BOWIE ROAD,0.2 MI EAST OF US 1 NB,39.095,-76.846667,1927,POOR CONDITION,4,20707
238151,MD,GREENCASTLE ROAD,0.10 MI E OF MONT CO LINE,39.071667,-76.921667,1954,POOR CONDITION,4,20866
235196,MD,IS 95 NB,0.14 M S OF GUILFORD ROAD,39.153333,-76.836667,1970,POOR CONDITION,4,20763
235199,MD,MD 32 EB,1.74 MILES NORTH OF US 1,39.158333,-76.83,1970,POOR CONDITION,4,20763
235337,MD,MD 650,0.45 MILE NORTH OF MD 410,38.98,-76.99,1935,POOR CONDITION,4,20901
235453,MD,MD 193,0.59 MILE EAST OF US 29,39.015,-77.005,1958,POOR CONDITION,4,20901
235663,MD,MD 201 SB,0.53 MILE NORTH OF MD 193,39.003333,-76.895,1963,POOR CONDITION,4,20768
235692,MD,IS 95 IL,0.79 MILE SOUTH OF MD 4,38.83,-76.878333,1963,POOR CONDITION,4,20747
235693,MD,IS 95 OL,0.79 MILE SOUTH OF MD 4,38.83,-76.878333,1963,POOR CONDITION,4,20747
235695,MD,IS 95 IL,1.71 MILES SOUTH OF MD 4,38.821667,-76.888333,1963,POOR CONDITION,4,20762
235696,MD,IS 95 OL,1.71 MILES SOUTH OF MD 4,38.821667,-76.888333,1963,POOR CONDITION,4,20762
235718,MD,MD 4 NB,1.37 MILES S OF MD 4PB,38.815,-76.825,1962,POOR CONDITION,4,20762
235719,MD,MD 4 SB,1.37 MILES S OF MD 4PB,38.815,-76.825,1962,POOR CONDITION,4,20762
