ID,ZIP,CITY,STATE,LAT,LONG
0,All,"All",MD,38.5,-77.0
8543,20588,"DHS",MD,38.74,-76.85
8551,20601,"WALDORF",MD,38.64,-76.9
8552,20602,"WALDORF",MD,38.64,-76.9
8553,20603,"WALDORF",MD,38.64,-76.9
8554,20604,"WALDORF",MD,38.64,-76.9
8555,20606,"ABELL",MD,38.25,-76.74
8556,20607,"ACCOKEEK",MD,38.67,-77.01
8557,20608,"AQUASCO",MD,38.58,-76.7
8558,20609,"AVENUE",MD,38.27,-76.74
8559,20610,"BARSTOW",MD,38.52,-76.6
8560,20611,"BEL ALTON",MD,38.46,-76.98
8561,20612,"BENEDICT",MD,38.5,-76.68
8562,20613,"BRANDYWINE",MD,38.69,-76.85
8563,20615,"BROOMES ISLAND",MD,38.41,-76.54
8564,20616,"BRYANS ROAD",MD,38.63,-77.07
8565,20617,"BRYANTOWN",MD,38.55,-76.84
8566,20618,"BUSHWOOD",MD,38.28,-76.78
8567,20619,"CALIFORNIA",MD,38.29,-76.49
8568,20620,"CALLAWAY",MD,38.23,-76.51
8569,20621,"CHAPTICO",MD,38.36,-76.78
8570,20622,"CHARLOTTE HALL",MD,38.47,-76.78
8571,20623,"CHELTENHAM",MD,38.73,-76.82
8572,20624,"CLEMENTS",MD,38.32,-76.72
8573,20625,"COBB ISLAND",MD,38.33,-76.91
8574,20626,"COLTONS POINT",MD,38.23,-76.76
8575,20627,"COMPTON",MD,38.3,-76.63
8576,20628,"DAMERON",MD,38.15,-76.36
8577,20629,"DOWELL",MD,38.35,-76.44
8578,20630,"DRAYDEN",MD,38.17,-76.47
8579,20632,"FAULKNER",MD,38.43,-76.97
8580,20634,"GREAT MILLS",MD,38.25,-76.49
8581,20635,"HELEN",MD,38.41,-76.73
8582,20636,"HOLLYWOOD",MD,38.34,-76.57
8583,20637,"HUGHESVILLE",MD,38.53,-76.78
8584,20639,"HUNTINGTOWN",MD,38.61,-76.61
8585,20640,"INDIAN HEAD",MD,38.59,-77.15
8586,20643,"IRONSIDES",MD,38.49,-77.16
8587,20645,"ISSUE",MD,38.3,-76.86
8588,20646,"LA PLATA",MD,38.53,-76.97
8589,20650,"LEONARDTOWN",MD,38.29,-76.64
8590,20653,"LEXINGTON PARK",MD,38.26,-76.44
8591,20656,"LOVEVILLE",MD,38.35,-76.67
8592,20657,"LUSBY",MD,38.41,-76.45
8593,20658,"MARBURY",MD,38.55,-77.15
8594,20659,"MECHANICSVILLE",MD,38.43,-76.73
8595,20660,"MORGANZA",MD,38.37,-76.69
8596,20661,"MOUNT VICTORIA",MD,38.33,-76.91
8597,20662,"NANJEMOY",MD,38.45,-77.21
8598,20664,"NEWBURG",MD,38.34,-76.92
8599,20667,"PARK HALL",MD,38.22,-76.44
8600,20670,"PATUXENT RIVER",MD,38.28,-76.42
8601,20674,"PINEY POINT",MD,38.14,-76.5
8602,20675,"POMFRET",MD,38.57,-77.01
8603,20676,"PORT REPUBLIC",MD,38.49,-76.54
8604,20677,"PORT TOBACCO",MD,38.49,-77.04
8605,20678,"PRINCE FREDERICK",MD,38.54,-76.58
8606,20680,"RIDGE",MD,38.11,-76.37
8607,20682,"ROCK POINT",MD,38.34,-76.92
8608,20684,"SAINT INIGOES",MD,38.15,-76.41
8609,20685,"SAINT LEONARD",MD,38.47,-76.5
8610,20686,"SAINT MARYS CITY",MD,38.18,-76.42
8611,20687,"SCOTLAND",MD,38.07,-76.34
8612,20688,"SOLOMONS",MD,38.33,-76.45
8613,20689,"SUNDERLAND",MD,38.64,-76.57
8614,20690,"TALL TIMBERS",MD,38.15,-76.53
8615,20692,"VALLEY LEE",MD,38.18,-76.5
8616,20693,"WELCOME",MD,38.45,-77.08
8617,20695,"WHITE PLAINS",MD,38.59,-76.97
8618,20697,"SOUTHERN MD FACILITY",MD,39.03,-76.9
8619,20701,"ANNAPOLIS JUNCTION",MD,39.12,-76.77
8620,20703,"LANHAM",MD,38.96,-76.85
8621,20704,"BELTSVILLE",MD,39.03,-76.92
8622,20705,"BELTSVILLE",MD,39.03,-76.92
8623,20706,"LANHAM",MD,38.96,-76.85
8624,20707,"LAUREL",MD,39.09,-76.85
8625,20708,"LAUREL",MD,39.09,-76.85
8626,20709,"LAUREL",MD,39.09,-76.85
